ticker	label	date	open	high	low	close	volume	currency
FR0000124141	VEOLIA ENVIRONNEM	06/02/2020	26,870	27,200	26,730	27,120	1573773	EUR
FR0000124141	VEOLIA ENVIRONNEM	07/02/2020	27,090	27,330	26,990	27,150	1565072	EUR
FR0000124141	VEOLIA ENVIRONNEM	10/02/2020	27,170	27,190	26,940	27,150	1356076	EUR
FR0000124141	VEOLIA ENVIRONNEM	11/02/2020	27,290	27,810	27,210	27,570	2233499	EUR
FR0000124141	VEOLIA ENVIRONNEM	12/02/2020	27,580	27,840	27,500	27,550	2052492	EUR
FR0000124141	VEOLIA ENVIRONNEM	13/02/2020	27,610	28,010	27,480	27,970	2062873	EUR
FR0000124141	VEOLIA ENVIRONNEM	14/02/2020	28,040	28,130	27,860	28,050	1741633	EUR
FR0000124141	VEOLIA ENVIRONNEM	17/02/2020	28,130	28,220	28,020	28,160	1148861	EUR
FR0000124141	VEOLIA ENVIRONNEM	18/02/2020	28,030	28,440	28,000	28,440	2279099	EUR
FR0000124141	VEOLIA ENVIRONNEM	19/02/2020	28,470	29,020	28,390	28,900	2761035	EUR
FR0000124141	VEOLIA ENVIRONNEM	20/02/2020	28,900	29,090	28,760	28,870	2351673	EUR
FR0000124141	VEOLIA ENVIRONNEM	21/02/2020	28,860	29,010	28,530	28,670	2426525	EUR
FR0000124141	VEOLIA ENVIRONNEM	24/02/2020	28,170	28,300	27,570	27,900	4688534	EUR
FR0000124141	VEOLIA ENVIRONNEM	25/02/2020	27,910	28,200	27,490	27,520	3205212	EUR
FR0000124141	VEOLIA ENVIRONNEM	26/02/2020	27,160	27,650	26,560	27,620	4203446	EUR
FR0000124141	VEOLIA ENVIRONNEM	27/02/2020	27,190	27,550	26,610	26,810	4086573	EUR
FR0000124141	VEOLIA ENVIRONNEM	28/02/2020	26,000	26,310	25,590	25,930	5463247	EUR
FR0000124141	VEOLIA ENVIRONNEM	02/03/2020	25,950	26,490	25,680	26,390	4126846	EUR
FR0000124141	VEOLIA ENVIRONNEM	03/03/2020	26,800	27,630	26,640	27,170	4346490	EUR
FR0000124141	VEOLIA ENVIRONNEM	04/03/2020	27,310	28,380	27,140	28,380	3294530	EUR
FR0000124141	VEOLIA ENVIRONNEM	05/03/2020	28,630	28,680	27,970	28,280	3199762	EUR
FR0000124141	VEOLIA ENVIRONNEM	06/03/2020	27,790	27,840	26,710	26,960	3988759	EUR
FR0000124141	VEOLIA ENVIRONNEM	09/03/2020	25,090	25,880	24,660	24,660	6522117	EUR
FR0000124141	VEOLIA ENVIRONNEM	10/03/2020	24,990	25,310	23,420	23,460	5028628	EUR
FR0000124141	VEOLIA ENVIRONNEM	11/03/2020	23,780	24,160	22,540	22,640	4927344	EUR
FR0000124141	VEOLIA ENVIRONNEM	12/03/2020	21,450	21,850	18,970	19,000	9153603	EUR
FR0000124141	VEOLIA ENVIRONNEM	13/03/2020	19,585	20,730	17,735	18,275	8423567	EUR
FR0000124141	VEOLIA ENVIRONNEM	16/03/2020	17,360	17,825	16,015	17,545	6674671	EUR
FR0000124141	VEOLIA ENVIRONNEM	17/03/2020	18,250	18,625	16,105	17,075	4847525	EUR
FR0000124141	VEOLIA ENVIRONNEM	18/03/2020	17,475	17,625	16,260	17,315	3104375	EUR
FR0000124141	VEOLIA ENVIRONNEM	19/03/2020	17,605	18,650	16,570	18,100	3766889	EUR
FR0000124141	VEOLIA ENVIRONNEM	20/03/2020	19,350	19,500	17,915	18,230	4874763	EUR
FR0000124141	VEOLIA ENVIRONNEM	23/03/2020	17,910	17,915	16,560	16,970	3050394	EUR
FR0000124141	VEOLIA ENVIRONNEM	24/03/2020	17,610	18,340	17,180	18,340	3080262	EUR
FR0000124141	VEOLIA ENVIRONNEM	25/03/2020	19,270	19,665	17,390	18,250	3190519	EUR
FR0000124141	VEOLIA ENVIRONNEM	26/03/2020	18,000	19,315	17,820	19,315	2738395	EUR
FR0000124141	VEOLIA ENVIRONNEM	27/03/2020	18,855	19,130	18,285	18,925	2577487	EUR
FR0000124141	VEOLIA ENVIRONNEM	30/03/2020	19,100	19,845	18,310	19,725	1775673	EUR
FR0000124141	VEOLIA ENVIRONNEM	31/03/2020	20,340	20,690	19,060	19,475	2682516	EUR
FR0000124141	VEOLIA ENVIRONNEM	01/04/2020	19,040	19,695	18,290	18,290	2681022	EUR
FR0000124141	VEOLIA ENVIRONNEM	02/04/2020	18,355	19,050	17,665	18,590	2896773	EUR
FR0000124141	VEOLIA ENVIRONNEM	03/04/2020	18,555	18,605	17,525	17,715	2282435	EUR
FR0000124141	VEOLIA ENVIRONNEM	06/04/2020	18,100	18,675	18,035	18,185	2172620	EUR
FR0000124141	VEOLIA ENVIRONNEM	07/04/2020	18,910	19,395	18,325	18,770	1836166	EUR
FR0000124141	VEOLIA ENVIRONNEM	08/04/2020	18,630	18,790	18,175	18,665	1555999	EUR
FR0000124141	VEOLIA ENVIRONNEM	09/04/2020	19,235	19,275	18,185	19,230	2041143	EUR
FR0000124141	VEOLIA ENVIRONNEM	14/04/2020	19,480	19,580	18,450	19,000	1927189	EUR
FR0000124141	VEOLIA ENVIRONNEM	15/04/2020	19,010	19,470	18,845	18,885	2645865	EUR
FR0000124141	VEOLIA ENVIRONNEM	16/04/2020	19,000	19,580	18,965	19,070	2099936	EUR
FR0000124141	VEOLIA ENVIRONNEM	17/04/2020	19,740	20,640	19,600	19,880	3876982	EUR
